代码,名称,价格,PE,市值(亿),护城河评分,护城河理由
601168,西部矿业,31.19,20.4,743.0,5,"合理(PE20), 大盘(743亿)"
600674,川投能源,15.06,15.4,734.0,5,"合理(PE15), 大盘(734亿)"
600415,小商品城,12.67,16.5,695.0,5,"合理(PE16), 大盘(695亿)"
001965,招商公路,10.0,15.3,680.0,5,"合理(PE15), 大盘(680亿)"
000933,神火股份,29.73,16.4,669.0,5,"合理(PE16), 大盘(669亿)"
300498,温氏股份,13.34,16.8,888.0,5,"合理(PE17), 大盘(888亿)"
000975,山金国际,22.8,21.3,632.0,5,"合理(PE21), 大盘(632亿)"
001391,国货航,5.15,24.5,629.0,5,"合理(PE25), 大盘(629亿)"
600426,华鲁恒升,29.64,19.0,627.0,5,"合理(PE19), 大盘(627亿)"
601808,中海油服,13.05,16.2,623.0,5,"合理(PE16), 大盘(623亿)"
600578,京能电力,9.21,18.4,617.0,5,"合理(PE18), 大盘(617亿)"
002595,豪迈科技,52.65,17.5,611.0,5,"合理(PE18), 大盘(611亿)"
603195,公牛集团,42.15,18.6,762.0,5,"合理(PE19), 大盘(762亿)"
002311,海大集团,46.12,17.9,759.0,5,"合理(PE18), 大盘(759亿)"
600021,上海电力,21.18,24.3,598.0,5,"合理(PE24), 大盘(598亿)"
600350,山东高速,11.99,22.0,580.0,5,"合理(PE22), 大盘(580亿)"
600863,华能蒙电,6.64,19.5,520.0,5,"合理(PE20), 大盘(520亿)"
601061,中信金属,13.44,24.4,659.0,5,"合理(PE24), 大盘(659亿)"
601788,光大证券,14.1,19.3,650.0,5,"合理(PE19), 大盘(650亿)"
600988,赤峰黄金,34.0,20.1,646.0,5,"合理(PE20), 大盘(646亿)"
002920,德赛西威,108.2,24.9,646.0,5,"合理(PE25), 大盘(646亿)"
603367,辰欣药业,13.71,14.7,62.0,5,低估(PE15)
002206,海 利 得,5.32,11.8,62.0,5,低估(PE12)
600742,富维股份,8.19,13.1,61.0,5,低估(PE13)
600035,楚天高速,3.77,11.1,61.0,5,低估(PE11)
000913,钱江摩托,11.51,6.2,61.0,5,低估(PE6)
000596,古井贡酒,91.87,13.7,486.0,5,低估(PE14)
600642,申能股份,9.83,12.2,481.0,5,低估(PE12)
601117,中国化学,7.7,7.3,470.0,5,低估(PE7)
000783,长江证券,8.15,12.9,451.0,5,低估(PE13)
601216,君正集团,5.13,13.0,433.0,5,低估(PE13)
601598,中国外运,6.0,10.7,430.0,5,低估(PE11)
002555,三七互娱,19.39,14.7,429.0,5,低估(PE15)
600196,复星医药,22.75,17.9,608.0,5,"合理(PE18), 大盘(608亿)"
600845,宝信软件,20.96,45.9,602.0,5,"行业护城河(软件), 大盘(602亿)"
000411,英特集团,11.54,12.0,65.0,5,低估(PE12)
600713,南京医药,4.93,10.3,65.0,5,低估(PE10)
601058,赛轮轮胎,12.56,11.6,413.0,5,低估(PE12)
601963,重庆银行,11.35,7.4,412.0,5,低估(PE7)
603049,中策橡胶,46.58,9.4,407.0,5,低估(PE9)
600061,国投资本,6.33,12.7,405.0,5,低估(PE13)
000999,华润三九,24.21,11.8,403.0,5,低估(PE12)
000987,越秀资本,7.96,11.4,399.0,5,低估(PE11)
600968,海油发展,3.92,10.3,398.0,5,低估(PE10)
300979,华利集团,33.28,12.1,388.0,5,低估(PE12)
601555,东吴证券,7.79,11.0,387.0,5,低估(PE11)
600801,华新建材,18.51,13.5,385.0,5,低估(PE14)
002078,太阳纸业,13.75,11.9,384.0,5,低估(PE12)
603368,柳药集团,15.77,8.8,63.0,5,低估(PE9)
000915,华特达因,26.72,11.7,63.0,5,低估(PE12)
600368,五洲交通,3.88,11.2,62.0,5,低估(PE11)
603402,陕西旅游,92.2,14.3,71.0,5,低估(PE14)
603128,华贸物流,5.3,14.3,69.0,5,低估(PE14)
002478,常宝股份,7.67,14.2,69.0,5,低估(PE14)
003013,地铁设计,14.51,12.6,67.0,5,低估(PE13)
000786,北新建材,22.23,12.9,378.0,5,低估(PE13)
601577,长沙银行,9.31,4.8,374.0,5,低估(PE5)
601665,齐鲁银行,5.98,6.0,368.0,5,低估(PE6)
603369,今世缘,29.19,14.0,364.0,5,低估(PE14)
601108,财通证券,7.79,13.7,362.0,5,低估(PE14)
600901,江苏金租,6.24,11.1,361.0,5,低估(PE11)
600987,航民股份,6.49,9.0,66.0,5,低估(PE9)
002014,永新股份,10.77,15.0,66.0,5,低估(PE15)
600983,惠而浦,8.6,12.6,66.0,5,低估(PE13)
002697,红旗连锁,4.84,13.8,66.0,5,低估(PE14)
605183,确成股份,15.71,13.0,65.0,5,低估(PE13)
002546,新联电子,7.82,11.3,65.0,5,低估(PE11)
603995,甬金股份,20.86,13.8,76.0,5,低估(PE14)
601686,友发集团,5.18,11.0,76.0,5,低估(PE11)
002966,苏州银行,8.04,7.1,359.0,5,低估(PE7)
002432,九安医疗,76.5,14.6,356.0,5,低估(PE15)
300533,冰川网络,16.24,7.9,53.0,5,低估(PE8)
600332,白云山,21.35,11.6,347.0,5,低估(PE12)
600177,雅戈尔,7.4,14.0,342.0,5,低估(PE14)
300705,九典制药,11.55,12.0,58.0,5,低估(PE12)
600060,海信视像,26.09,13.8,340.0,5,低估(PE14)
603055,台华新材,8.52,14.2,76.0,5,低估(PE14)
300360,炬华科技,14.71,13.4,76.0,5,低估(PE13)
603071,XD物产环,13.15,11.5,73.0,5,低估(PE12)
600125,铁龙物流,5.62,14.0,73.0,5,低估(PE14)
000589,贵州轮胎,4.69,11.7,73.0,5,低估(PE12)
600894,广日股份,8.53,10.5,73.0,5,低估(PE10)
002140,东华科技,10.25,13.6,73.0,5,低估(PE14)
000498,山东路桥,5.17,4.5,80.0,5,低估(PE4)
002939,长城证券,8.4,14.5,339.0,5,低估(PE14)
000921,海信家电,24.08,10.3,333.0,5,低估(PE10)
601717,中创智领,18.23,7.5,325.0,5,低估(PE7)
002948,青岛银行,5.46,6.4,318.0,5,低估(PE6)
600109,国金证券,8.55,13.8,317.0,5,低估(PE14)
002608,江苏国信,8.36,9.1,316.0,5,低估(PE9)
001207,联科科技,19.0,13.2,58.0,5,低估(PE13)
002244,滨江集团,10.11,14.9,315.0,5,低估(PE15)
000728,国元证券,7.19,12.8,314.0,5,低估(PE13)
600517,国网英大,5.41,12.2,309.0,5,低估(PE12)
000030,富奥股份,4.59,11.2,79.0,5,低估(PE11)
600861,北京人力,13.89,6.7,79.0,5,低估(PE7)
300770,新媒股份,34.39,11.9,78.0,5,低估(PE12)
002734,利民股份,16.29,13.9,78.0,5,低估(PE14)
000544,中原环保,7.83,7.4,76.0,5,低估(PE7)
002572,索菲亚,9.05,9.6,87.0,5,低估(PE10)
600866,星湖科技,5.13,8.7,85.0,5,低估(PE9)
600502,安徽建工,4.96,6.2,85.0,5,低估(PE6)
600729,重百集团,18.94,8.0,83.0,5,低估(PE8)
000885,城发环境,12.99,6.7,83.0,5,低估(PE7)
300815,玉禾田,20.9,14.9,83.0,5,低估(PE15)
603568,伟明环保,15.0,11.4,308.0,5,低估(PE11)
600483,福能股份,10.97,10.3,305.0,5,低估(PE10)
300724,捷佳伟创,86.41,11.5,301.0,5,低估(PE11)
600329,达仁堂,38.86,14.0,299.0,5,低估(PE14)
600282,南钢股份,4.78,10.3,295.0,5,低估(PE10)
603198,迎驾贡酒,35.39,14.3,283.0,5,低估(PE14)
600012,皖通高速,16.48,14.8,282.0,5,低估(PE15)
600496,精工钢构,4.11,13.4,82.0,5,低估(PE13)
002267,陕天然气,7.27,13.8,81.0,5,低估(PE14)
300641,正丹股份,15.34,11.3,81.0,5,低估(PE11)
002233,塔牌集团,7.93,14.7,93.0,5,低估(PE15)
601860,紫金银行,2.53,7.4,93.0,5,低估(PE7)
601528,瑞丰银行,4.69,4.7,92.0,5,低估(PE5)
600098,广州发展,7.83,11.8,275.0,5,低估(PE12)
000932,华菱钢铁,4.0,10.5,274.0,5,低估(PE11)
600873,梅花生物,9.68,8.3,271.0,5,低估(PE8)
600398,海澜之家,5.62,12.5,270.0,5,低估(PE12)
000513,丽珠集团,30.0,13.2,266.0,5,低估(PE13)
603338,浙江鼎力,52.1,13.9,264.0,5,低估(PE14)
002215,诺 普 信,9.03,13.7,91.0,5,低估(PE14)
600874,创业环保,5.71,10.4,90.0,5,低估(PE10)
002004,华邦健康,4.49,12.4,89.0,5,低估(PE12)
603713,密尔克卫,56.03,14.2,89.0,5,低估(PE14)
600780,通宝能源,7.66,13.6,88.0,5,低估(PE14)
000848,承德露露,8.59,14.3,88.0,5,低估(PE14)
300926,博俊科技,20.1,10.2,87.0,5,低估(PE10)
002061,浙江交科,3.67,10.2,98.0,5,低估(PE10)
601156,东航物流,16.46,9.7,261.0,5,低估(PE10)
601000,唐山港,4.38,13.0,260.0,5,低估(PE13)
600704,物产中大,5.0,7.2,259.0,5,低估(PE7)
600566,济川药业,27.32,14.2,252.0,5,低估(PE14)
600583,海油工程,5.66,12.0,250.0,5,低估(PE12)
601918,新集能源,9.55,11.6,247.0,5,低估(PE12)
600323,瀚蓝环境,29.7,12.3,242.0,5,低估(PE12)
