代码,名称,板块,最新价,涨跌幅,换手率,量比,current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high
600789,鲁抗医药,生物医药,8.11,-1.34,1.23027,0.22,8.11,7.87,11.37,1.03,2.5,3.05,28.67
600789,鲁抗医药,生物医药,8.11,-1.34,1.60355,0.22,8.11,7.87,11.37,1.03,2.5,3.05,28.67
300601,康泰生物,生物医药,13.4,-0.3,1.25486,0.69,13.4,13.0,21.12,1.03,0.8,3.08,36.55
300601,康泰生物,生物医药,13.4,-0.3,1.61113,0.69,13.4,13.0,21.12,1.03,0.8,3.08,36.55
300942,易瑞生物,生物医药,7.23,1.83,1.14049,0.39,7.23,7.0,14.15,1.03,0.8,3.29,48.9
300942,易瑞生物,生物医药,7.23,1.83,1.38662,0.39,7.23,7.0,14.15,1.03,0.8,3.29,48.9
603079,圣达生物,生物医药,14.98,-0.86,1.28166,0.46,14.98,14.5,22.0,1.03,0.4,3.31,31.91
603079,圣达生物,生物医药,14.98,-0.86,1.32605,0.46,14.98,14.5,22.0,1.03,0.4,3.31,31.91
300482,万孚生物,生物医药,17.95,0.17,2.32797,0.53,17.95,17.33,26.29,1.04,5.3,3.58,31.72
300482,万孚生物,生物医药,17.95,0.17,1.50964,0.53,17.95,17.33,26.29,1.04,5.3,3.58,31.72
600161,天坛生物,生物医药,13.64,3.26,0.39961,0.58,13.64,13.15,22.08,1.04,1.7,3.73,38.22
600161,天坛生物,生物医药,13.64,3.26,0.4,0.58,13.64,13.15,22.08,1.04,1.7,3.73,38.22
600713,南京医药,生物医药,5.0,-1.96,0.74223,1.03,5.0,4.81,6.65,1.04,9.9,3.95,24.81
600713,南京医药,生物医药,5.0,-1.96,0.86971,1.03,5.0,4.81,6.65,1.04,9.9,3.95,24.81
300439,美康生物,生物医药,9.44,-0.32,1.43501,0.85,9.44,9.08,12.2,1.04,1.2,3.96,22.62
300439,美康生物,生物医药,9.44,-0.32,1.32678,0.85,9.44,9.08,12.2,1.04,1.2,3.96,22.62
002880,卫光生物,生物医药,26.14,-0.49,0.50516,0.93,26.14,25.03,33.79,1.04,18.1,4.43,22.64
002880,卫光生物,生物医药,26.14,-0.49,0.44868,0.93,26.14,25.03,33.79,1.04,18.1,4.43,22.64
002022,科华生物,生物医药,5.67,1.43,2.09844,0.61,5.67,5.37,8.45,1.06,1.2,5.59,32.9
002022,科华生物,生物医药,5.67,1.43,1.81633,0.61,5.67,5.37,8.45,1.06,1.2,5.59,32.9
002589,瑞康医药,生物医药,2.93,0.34,2.00926,0.92,2.93,2.77,4.69,1.06,19.3,5.78,37.53
002589,瑞康医药,生物医药,2.93,0.34,2.11804,0.92,2.93,2.77,4.69,1.06,19.3,5.78,37.53
301206,三元生物,生物医药,26.15,0.81,1.10548,0.29,26.15,24.5,34.69,1.07,6.2,6.73,24.62
301206,三元生物,生物医药,26.15,0.81,1.08633,0.29,26.15,24.5,34.69,1.07,6.2,6.73,24.62
301520,万邦医药,生物医药,40.49,1.48,2.90136,0.22,40.49,37.83,50.83,1.07,11.5,7.03,20.34
301520,万邦医药,生物医药,40.49,1.48,3.35127,0.22,40.49,37.83,50.83,1.07,11.5,7.03,20.34
300233,金城医药,生物医药,14.4,-1.23,1.94189,0.36,14.4,13.45,22.47,1.07,7.8,7.06,35.91
300233,金城医药,生物医药,14.4,-1.23,2.4415,0.36,14.4,13.45,22.47,1.07,7.8,7.06,35.91
300298,三诺生物,生物医药,16.45,-0.24,0.8038,0.73,16.45,15.3,23.96,1.08,11.5,7.52,31.34
300298,三诺生物,生物医药,16.45,-0.24,1.05176,0.73,16.45,15.3,23.96,1.08,11.5,7.52,31.34
603363,傲农生物,生物医药,3.39,2.11,1.70789,3.08,3.39,3.12,6.2,1.09,5.3,8.65,45.32
603363,傲农生物,生物医药,3.39,2.11,2.04767,3.08,3.39,3.12,6.2,1.09,5.3,8.65,45.32
300529,健帆生物,生物医药,18.79,0.54,0.87975,0.57,18.79,17.27,24.98,1.09,13.2,8.8,24.78
300529,健帆生物,生物医药,18.79,0.54,1.03953,0.57,18.79,17.27,24.98,1.09,13.2,8.8,24.78
301331,恩威医药,生物医药,26.29,2.38,6.25132,0.27,26.29,24.1,39.66,1.09,7.4,9.09,33.71
